location,county_fips,activity,human_cases,neuro_cases,blood_donor_cases,year
"AR, Cleburne",5023,Human infections and non-human activity,2.0,2.0,0.0,2024
"AR, Cleveland",5025,Human infections and non-human activity,1.0,1.0,0.0,2024
"AR, Columbia",5027,Human infections and non-human activity,11.0,10.0,1.0,2024
"AR, Conway",5029,Human infections and non-human activity,2.0,2.0,0.0,2024
"AR, Crawford",5033,Human infections and non-human activity,7.0,5.0,3.0,2024
"AR, Crittenden",5035,Human infections and non-human activity,12.0,10.0,0.0,2024
"AR, Cross",5037,Non-human activity,0.0,0.0,0.0,2024
"AR, Desha",5041,Human infections and non-human activity,5.0,3.0,0.0,2024
"AR, Drew",5043,Human infections and non-human activity,13.0,10.0,0.0,2024
"AR, Franklin",5047,Non-human activity,0.0,0.0,0.0,2024
"AR, Fulton",5049,Non-human activity,0.0,0.0,0.0,2024
"AR, Garland",5051,Human infections and non-human activity,9.0,5.0,0.0,2024
"AR, Grant",5053,Human infections and non-human activity,0.0,0.0,1.0,2024
"AR, Greene",5055,Human infections and non-human activity,2.0,1.0,0.0,2024
"AR, Hempstead",5057,Human infections and non-human activity,4.0,2.0,0.0,2024
"AR, Hot Spring",5059,Non-human activity,0.0,0.0,0.0,2024
"AR, Howard",5061,Human infections and non-human activity,0.0,0.0,1.0,2024
"AR, Independence",5063,Human infections and non-human activity,4.0,4.0,0.0,2024
"AR, Izard",5065,Human infections and non-human activity,1.0,1.0,0.0,2024
"AR, Jackson",5067,Non-human activity,0.0,0.0,0.0,2024
"AR, Jefferson",5069,Human infections and non-human activity,51.0,40.0,0.0,2024
"AR, Lee",5077,Non-human activity,0.0,0.0,0.0,2024
"AR, Lincoln",5079,Human infections and non-human activity,4.0,3.0,1.0,2024
"AR, Little River",5081,Human infections and non-human activity,3.0,2.0,0.0,2024
"AR, Logan",5083,Human infections and non-human activity,2.0,1.0,0.0,2024
"AR, Lonoke",5085,Human infections and non-human activity,7.0,5.0,0.0,2024
"AR, Madison",5087,Human infections and non-human activity,1.0,0.0,0.0,2024
"AR, Marion",5089,Human infections and non-human activity,2.0,1.0,0.0,2024
"AR, Monroe",5095,Non-human activity,0.0,0.0,0.0,2024
"AR, Montgomery",5097,Non-human activity,0.0,0.0,0.0,2024
"AR, Nevada",5099,Human infections and non-human activity,2.0,1.0,0.0,2024
"AR, Newton",5101,Non-human activity,0.0,0.0,0.0,2024
"AR, Ouachita",5103,Human infections and non-human activity,4.0,3.0,0.0,2024
"AR, Perry",5105,Human infections and non-human activity,1.0,1.0,0.0,2024
"AR, Phillips",5107,Human infections and non-human activity,3.0,3.0,0.0,2024
"AR, Pike",5109,Non-human activity,0.0,0.0,0.0,2024
"AR, Poinsett",5111,Non-human activity,0.0,0.0,0.0,2024
"AR, Polk",5113,Non-human activity,0.0,0.0,0.0,2024
"AR, Pope",5115,Human infections and non-human activity,5.0,2.0,1.0,2024
"AR, Prairie",5117,Non-human activity,0.0,0.0,0.0,2024
"AR, Randolph",5121,Human infections and non-human activity,1.0,1.0,0.0,2024
"AR, St Francis",5123,Human infections and non-human activity,1.0,1.0,0.0,2024
"AR, Scott",5127,Human infections and non-human activity,3.0,2.0,0.0,2024
"AR, Searcy",5129,Human infections and non-human activity,1.0,1.0,0.0,2024
"AR, Sebastian",5131,Human infections and non-human activity,20.0,17.0,2.0,2024
"AR, Sevier",5133,Human infections and non-human activity,1.0,1.0,0.0,2024
"AR, Sharp",5135,Human infections and non-human activity,2.0,0.0,0.0,2024
"AR, Stone",5137,Human infections and non-human activity,0.0,0.0,1.0,2024
"AR, Van Buren",5141,Non-human activity,0.0,0.0,0.0,2024
"AR, White",5145,Human infections and non-human activity,5.0,5.0,1.0,2024
"AR, Woodruff",5147,Non-human activity,0.0,0.0,0.0,2024
"AR, Yell",5149,Human infections and non-human activity,1.0,1.0,1.0,2024
"CA, Alpine",6003,Non-human activity,0.0,0.0,0.0,2024
"CA, Amador",6005,Human infections and non-human activity,7.0,4.0,3.0,2024
"CA, Calaveras",6009,Human infections and non-human activity,5.0,4.0,1.0,2024
"CA, Del Norte",6015,Non-human activity,0.0,0.0,0.0,2024
"CA, El Dorado",6017,Human infections and non-human activity,13.0,8.0,2.0,2024
"CA, Glenn",6021,Human infections and non-human activity,101.0,30.0,6.0,2024
"CA, Humboldt",6023,Human infections and non-human activity,2.0,2.0,2.0,2024
"CA, Lassen",6035,Human infections and non-human activity,1.0,1.0,0.0,2024
"CA, Marin",6041,Human infections and non-human activity,4.0,3.0,2.0,2024
"CA, Mariposa",6043,Non-human activity,0.0,0.0,0.0,2024
"CA, Mendocino",6045,Human infections and non-human activity,5.0,5.0,0.0,2024
"CA, Modoc",6049,Human infections and non-human activity,2.0,2.0,0.0,2024
"CA, Mono",6051,Human infections and non-human activity,1.0,1.0,0.0,2024
"CA, Monterey",6053,Human infections and non-human activity,6.0,5.0,0.0,2024
"CA, Napa",6055,Human infections and non-human activity,4.0,2.0,1.0,2024
"CA, Plumas",6063,Human infections and non-human activity,1.0,1.0,0.0,2024
"CA, San Benito",6069,Human infections and non-human activity,0.0,0.0,1.0,2024
"CA, San Francisco",6075,Human infections and non-human activity,7.0,6.0,2.0,2024
"CA, San Luis Obispo",6079,Human infections and non-human activity,8.0,5.0,1.0,2024
"CA, San Mateo",6081,Human infections and non-human activity,6.0,6.0,2.0,2024
"CA, Santa Cruz",6087,Human infections and non-human activity,2.0,2.0,0.0,2024
"CA, Sierra",6091,Non-human activity,0.0,0.0,0.0,2024
"CA, Siskiyou",6093,Human infections and non-human activity,1.0,1.0,0.0,2024
"CA, Tehama",6103,Human infections and non-human activity,62.0,27.0,5.0,2024
"CA, Trinity",6105,Non-human activity,0.0,0.0,0.0,2024
"CO, Alamosa",8003,Human infections and non-human activity,7.0,1.0,1.0,2024
"CO, Archuleta",8007,Human infections and non-human activity,7.0,3.0,0.0,2024
"CO, Baca",8009,Human infections and non-human activity,12.0,4.0,0.0,2024
"CO, Chaffee",8015,Human infections and non-human activity,18.0,5.0,1.0,2024
"CO, Cheyenne",8017,Human infections and non-human activity,10.0,4.0,0.0,2024
"CO, Clear Creek",8019,Human infections,3.0,2.0,0.0,2024
"CO, Conejos",8021,Human infections and non-human activity,1.0,0.0,0.0,2024
"CO, Costilla",8023,Human infections and non-human activity,2.0,2.0,0.0,2024
"CO, Crowley",8025,Human infections and non-human activity,12.0,8.0,0.0,2024
"CO, Custer",8027,Human infections and non-human activity,2.0,0.0,0.0,2024
"CO, Dolores",8033,Non-human activity,0.0,0.0,0.0,2024
"CO, Eagle",8037,Human infections and non-human activity,5.0,2.0,0.0,2024
"CO, Elbert",8039,Human infections and non-human activity,17.0,6.0,3.0,2024
"CO, Garfield",8045,Human infections and non-human activity,17.0,3.0,0.0,2024
"CO, Grand",8049,Human infections and non-human activity,4.0,2.0,0.0,2024
"CO, Gunnison",8051,Human infections and non-human activity,3.0,1.0,0.0,2024
"CO, Huerfano",8055,Human infections and non-human activity,15.0,4.0,1.0,2024
"CO, Kiowa",8061,Human infections and non-human activity,4.0,1.0,0.0,2024
"CO, Las Animas",8071,Human infections and non-human activity,13.0,6.0,1.0,2024
"CO, Lincoln",8073,Human infections and non-human activity,14.0,6.0,1.0,2024
"CO, Moffat",8081,Human infections and non-human activity,3.0,0.0,1.0,2024
"CO, Montezuma",8083,Human infections and non-human activity,29.0,12.0,2.0,2024
"CO, Ouray",8091,Non-human activity,0.0,0.0,0.0,2024
"CO, Park",8093,Human infections and non-human activity,2.0,0.0,0.0,2024
"CO, Phillips",8095,Human infections and non-human activity,40.0,2.0,0.0,2024
"CO, Pitkin",8097,Human infections and non-human activity,1.0,0.0,0.0,2024
"CO, Prowers",8099,Human infections and non-human activity,95.0,13.0,2.0,2024
"CO, Rio Blanco",8103,Human infections and non-human activity,5.0,3.0,0.0,2024
"CO, Routt",8107,Non-human activity,0.0,0.0,0.0,2024
"CO, Saguache",8109,Human infections and non-human activity,4.0,0.0,0.0,2024
"CO, San Miguel",8113,Human infections,2.0,2.0,0.0,2024
"CO, Sedgwick",8115,Human infections and non-human activity,28.0,3.0,1.0,2024
"CO, Yuma",8125,Human infections and non-human activity,29.0,5.0,3.0,2024
"CT, Fairfield",9001,Data unavailable,0.0,0.0,0.0,2024
"CT, Hartford",9003,Data unavailable,0.0,0.0,0.0,2024
"CT, Litchfield",9005,Data unavailable,0.0,0.0,0.0,2024
"CT, Middlesex",9007,Data unavailable,0.0,0.0,0.0,2024
"CT, New Haven",9009,Data unavailable,0.0,0.0,0.0,2024
"CT, New London",9011,Data unavailable,0.0,0.0,0.0,2024
"CT, Tolland",9013,Data unavailable,0.0,0.0,0.0,2024
"CT, Windham",9015,Data unavailable,0.0,0.0,0.0,2024
"FL, Baker",12003,Non-human activity,0.0,0.0,0.0,2024
"FL, Bradford",12007,Non-human activity,0.0,0.0,0.0,2024
"FL, Broward",12011,Human infections and non-human activity,15.0,10.0,1.0,2024
"FL, Calhoun",12013,Human infections and non-human activity,2.0,2.0,0.0,2024
"FL, Collier",12021,Human infections and non-human activity,15.0,15.0,0.0,2024
"FL, Columbia",12023,Human infections and non-human activity,0.0,0.0,1.0,2024
"FL, De Soto",12027,Human infections and non-human activity,2.0,1.0,0.0,2024
"FL, Dixie",12029,Non-human activity,0.0,0.0,0.0,2024
"FL, Flagler",12035,Non-human activity,0.0,0.0,0.0,2024
"FL, Franklin",12037,Human infections and non-human activity,1.0,0.0,0.0,2024
"FL, Gadsden",12039,Human infections and non-human activity,3.0,3.0,1.0,2024
"FL, Gilchrist",12041,Non-human activity,0.0,0.0,0.0,2024
"FL, Glades",12043,Human infections and non-human activity,1.0,1.0,0.0,2024
"FL, Gulf",12045,Human infections and non-human activity,4.0,3.0,1.0,2024
"FL, Hamilton",12047,Non-human activity,0.0,0.0,0.0,2024
"FL, Hardee",12049,Non-human activity,0.0,0.0,0.0,2024
"FL, Hendry",12051,Non-human activity,0.0,0.0,0.0,2024
"FL, Highlands",12055,Human infections and non-human activity,2.0,2.0,0.0,2024
"FL, Holmes",12059,Human infections and non-human activity,5.0,4.0,0.0,2024
"FL, Jackson",12063,Human infections and non-human activity,2.0,1.0,0.0,2024
"FL, Jefferson",12065,Human infections and non-human activity,1.0,1.0,0.0,2024
"FL, Lafayette",12067,Human infections and non-human activity,2.0,1.0,0.0,2024
"FL, Lake",12069,Human infections and non-human activity,2.0,2.0,0.0,2024
"FL, Lee",12071,Human infections and non-human activity,7.0,5.0,1.0,2024
"FL, Levy",12075,Human infections and non-human activity,1.0,0.0,0.0,2024
"FL, Liberty",12077,Non-human activity,0.0,0.0,0.0,2024
"FL, Madison",12079,Human infections and non-human activity,2.0,2.0,0.0,2024
"FL, Marion",12083,Human infections and non-human activity,11.0,10.0,1.0,2024
"FL, Monroe",12087,Human infections and non-human activity,4.0,4.0,0.0,2024
"FL, Nassau",12089,Human infections and non-human activity,6.0,3.0,1.0,2024
"FL, Okaloosa",12091,Human infections and non-human activity,14.0,10.0,1.0,2024
"FL, Okeechobee",12093,Human infections and non-human activity,1.0,1.0,0.0,2024
"FL, Osceola",12097,Human infections and non-human activity,1.0,1.0,0.0,2024
"FL, Santa Rosa",12113,Human infections and non-human activity,20.0,12.0,2.0,2024
"FL, Suwannee",12121,Human infections and non-human activity,4.0,4.0,2.0,2024
"FL, Taylor",12123,Human infections and non-human activity,2.0,2.0,0.0,2024
"FL, Union",12125,Human infections and non-human activity,1.0,1.0,0.0,2024
"FL, Wakulla",12129,Human infections and non-human activity,2.0,2.0,0.0,2024
"FL, Washington",12133,Human infections and non-human activity,5.0,5.0,0.0,2024
"GA, Appling",13001,Human infections and non-human activity,2.0,0.0,0.0,2024
"GA, Atkinson",13003,Non-human activity,0.0,0.0,0.0,2024
"GA, Bacon",13005,Human infections and non-human activity,1.0,1.0,0.0,2024
"GA, Baker",13007,Non-human activity,0.0,0.0,0.0,2024
"GA, Baldwin",13009,Non-human activity,0.0,0.0,0.0,2024
"GA, Banks",13011,Non-human activity,0.0,0.0,0.0,2024
"GA, Barrow",13013,Non-human activity,0.0,0.0,0.0,2024
"GA, Bartow",13015,Human infections and non-human activity,2.0,1.0,0.0,2024
"GA, Ben Hill",13017,Human infections and non-human activity,3.0,3.0,0.0,2024
"GA, Berrien",13019,Non-human activity,0.0,0.0,0.0,2024
"GA, Bibb",13021,Human infections and non-human activity,12.0,11.0,3.0,2024
"GA, Bleckley",13023,Non-human activity,0.0,0.0,0.0,2024
"GA, Brantley",13025,Human infections and non-human activity,6.0,3.0,0.0,2024
"GA, Brooks",13027,Non-human activity,0.0,0.0,0.0,2024
"GA, Bryan",13029,Human infections and non-human activity,4.0,2.0,1.0,2024
"GA, Bulloch",13031,Human infections and non-human activity,4.0,2.0,2.0,2024
"GA, Burke",13033,Human infections and non-human activity,1.0,1.0,0.0,2024
"GA, Camden",13039,Human infections and non-human activity,1.0,0.0,1.0,2024
"GA, Candler",13043,Human infections and non-human activity,1.0,0.0,2.0,2024
"GA, Carroll",13045,Human infections and non-human activity,1.0,0.0,2.0,2024
"GA, Catoosa",13047,Human infections and non-human activity,3.0,3.0,0.0,2024
"GA, Charlton",13049,Non-human activity,0.0,0.0,0.0,2024
"GA, Chattahoochee",13053,Non-human activity,0.0,0.0,0.0,2024
"GA, Chattooga",13055,Non-human activity,0.0,0.0,0.0,2024
"GA, Cherokee",13057,Human infections and non-human activity,6.0,3.0,6.0,2024
"GA, Clarke",13059,Human infections and non-human activity,3.0,1.0,2.0,2024
"GA, Clayton",13063,Human infections and non-human activity,9.0,6.0,3.0,2024
"GA, Clinch",13065,Human infections and non-human activity,0.0,0.0,1.0,2024
"GA, Cobb",13067,Human infections and non-human activity,39.0,24.0,5.0,2024
"GA, Coffee",13069,Human infections and non-human activity,3.0,1.0,0.0,2024
"GA, Colquitt",13071,Human infections and non-human activity,1.0,0.0,0.0,2024
"GA, Cook",13075,Human infections and non-human activity,0.0,0.0,1.0,2024
"GA, Coweta",13077,Human infections and non-human activity,0.0,0.0,1.0,2024
"GA, Crawford",13079,Non-human activity,0.0,0.0,0.0,2024
"GA, Crisp",13081,Human infections and non-human activity,4.0,3.0,2.0,2024
"GA, Dade",13083,Non-human activity,0.0,0.0,0.0,2024
"GA, Dawson",13085,Human infections,2.0,1.0,0.0,2024
"GA, Decatur",13087,Human infections and non-human activity,2.0,2.0,2.0,2024
"GA, Dodge",13091,Non-human activity,0.0,0.0,0.0,2024
"GA, Dooly",13093,Non-human activity,0.0,0.0,0.0,2024
"GA, Douglas",13097,Human infections and non-human activity,4.0,3.0,2.0,2024
"GA, Early",13099,Human infections and non-human activity,1.0,1.0,0.0,2024
"GA, Echols",13101,Human infections and non-human activity,1.0,1.0,0.0,2024
"GA, Effingham",13103,Non-human activity,0.0,0.0,0.0,2024
"GA, Elbert",13105,Non-human activity,0.0,0.0,0.0,2024
"GA, Evans",13109,Non-human activity,0.0,0.0,0.0,2024
"GA, Fayette",13113,Human infections and non-human activity,2.0,2.0,1.0,2024
"GA, Floyd",13115,Human infections and non-human activity,5.0,4.0,0.0,2024
"GA, Forsyth",13117,Human infections and non-human activity,4.0,3.0,3.0,2024
"GA, Franklin",13119,Non-human activity,0.0,0.0,0.0,2024
"GA, Gilmer",13123,Non-human activity,0.0,0.0,0.0,2024
"GA, Gordon",13129,Human infections and non-human activity,0.0,0.0,1.0,2024
"GA, Grady",13131,Non-human activity,0.0,0.0,0.0,2024
"GA, Greene",13133,Non-human activity,0.0,0.0,0.0,2024
"GA, Habersham",13137,Human infections and non-human activity,3.0,0.0,0.0,2024
"GA, Hall",13139,Human infections and non-human activity,4.0,2.0,1.0,2024
"GA, Haralson",13143,Non-human activity,0.0,0.0,0.0,2024
"GA, Harris",13145,Non-human activity,0.0,0.0,0.0,2024
"GA, Hart",13147,Non-human activity,0.0,0.0,0.0,2024
"GA, Heard",13149,Non-human activity,0.0,0.0,0.0,2024
"GA, Henry",13151,Human infections and non-human activity,4.0,2.0,0.0,2024
"GA, Irwin",13155,Non-human activity,0.0,0.0,0.0,2024
"GA, Jackson",13157,Non-human activity,0.0,0.0,0.0,2024
"GA, Jeff Davis",13161,Human infections and non-human activity,2.0,2.0,0.0,2024
"GA, Jefferson",13163,Non-human activity,0.0,0.0,0.0,2024
"GA, Jenkins",13165,Non-human activity,0.0,0.0,0.0,2024
"GA, Johnson",13167,Human infections and non-human activity,2.0,2.0,0.0,2024
"GA, Jones",13169,Human infections and non-human activity,1.0,0.0,1.0,2024
"GA, Lamar",13171,Human infections and non-human activity,1.0,1.0,0.0,2024
"GA, Lanier",13173,Non-human activity,0.0,0.0,0.0,2024
"GA, Laurens",13175,Non-human activity,0.0,0.0,0.0,2024
"GA, Lee",13177,Human infections and non-human activity,5.0,4.0,1.0,2024
"GA, Liberty",13179,Human infections and non-human activity,1.0,0.0,2.0,2024
"GA, Lincoln",13181,Non-human activity,0.0,0.0,0.0,2024
"GA, Long",13183,Human infections and non-human activity,1.0,0.0,0.0,2024
"GA, Lumpkin",13187,Non-human activity,0.0,0.0,0.0,2024
"GA, Mcduffie",13189,Human infections and non-human activity,1.0,1.0,0.0,2024
"GA, Mcintosh",13191,Human infections and non-human activity,1.0,1.0,1.0,2024
"GA, Macon",13193,Human infections and non-human activity,2.0,2.0,0.0,2024
"GA, Madison",13195,Non-human activity,0.0,0.0,0.0,2024
"GA, Marion",13197,Non-human activity,0.0,0.0,0.0,2024
"GA, Meriwether",13199,Non-human activity,0.0,0.0,0.0,2024
"GA, Miller",13201,Human infections and non-human activity,5.0,3.0,0.0,2024
"GA, Mitchell",13205,Human infections and non-human activity,5.0,3.0,0.0,2024
"GA, Monroe",13207,Non-human activity,0.0,0.0,0.0,2024
"GA, Montgomery",13209,Human infections,1.0,0.0,0.0,2024
"GA, Morgan",13211,Human infections and non-human activity,1.0,1.0,0.0,2024
"GA, Murray",13213,Non-human activity,0.0,0.0,0.0,2024
"GA, Newton",13217,Human infections and non-human activity,1.0,0.0,0.0,2024
"GA, Oconee",13219,Non-human activity,0.0,0.0,0.0,2024
"GA, Oglethorpe",13221,Non-human activity,0.0,0.0,0.0,2024
"GA, Paulding",13223,Human infections and non-human activity,3.0,1.0,0.0,2024
"GA, Peach",13225,Human infections and non-human activity,1.0,0.0,2.0,2024
"GA, Pickens",13227,Non-human activity,0.0,0.0,0.0,2024
"GA, Pierce",13229,Human infections and non-human activity,3.0,3.0,2.0,2024
"GA, Pike",13231,Human infections and non-human activity,2.0,1.0,0.0,2024
"GA, Polk",13233,Human infections and non-human activity,3.0,2.0,0.0,2024
"GA, Pulaski",13235,Non-human activity,0.0,0.0,0.0,2024
"GA, Putnam",13237,Human infections and non-human activity,1.0,0.0,1.0,2024
"GA, Quitman",13239,Human infections,1.0,1.0,0.0,2024
"GA, Randolph",13243,Human infections and non-human activity,1.0,1.0,0.0,2024
"GA, Rockdale",13247,Human infections and non-human activity,1.0,1.0,1.0,2024
"GA, Schley",13249,Human infections,1.0,0.0,0.0,2024
"GA, Screven",13251,Non-human activity,0.0,0.0,0.0,2024
"GA, Seminole",13253,Human infections and non-human activity,1.0,1.0,0.0,2024
"GA, Spalding",13255,Human infections and non-human activity,2.0,1.0,1.0,2024
"GA, Stephens",13257,Human infections and non-human activity,1.0,1.0,0.0,2024
"GA, Talbot",13263,Non-human activity,0.0,0.0,0.0,2024
"GA, Tattnall",13267,Human infections and non-human activity,0.0,0.0,1.0,2024
"GA, Taylor",13269,Human infections and non-human activity,3.0,1.0,0.0,2024
"GA, Telfair",13271,Human infections and non-human activity,0.0,0.0,1.0,2024
"GA, Terrell",13273,Human infections and non-human activity,1.0,0.0,0.0,2024
"GA, Thomas",13275,Human infections and non-human activity,2.0,1.0,0.0,2024
"GA, Tift",13277,Human infections and non-human activity,7.0,4.0,0.0,2024
"GA, Toombs",13279,Human infections and non-human activity,3.0,2.0,1.0,2024
"GA, Towns",13281,Non-human activity,0.0,0.0,0.0,2024
"GA, Treutlen",13283,Human infections and non-human activity,1.0,1.0,0.0,2024
"GA, Troup",13285,Human infections and non-human activity,1.0,0.0,1.0,2024
"GA, Turner",13287,Non-human activity,0.0,0.0,0.0,2024
"GA, Twiggs",13289,Non-human activity,0.0,0.0,0.0,2024
"GA, Union",13291,Non-human activity,0.0,0.0,0.0,2024
"GA, Upson",13293,Human infections and non-human activity,0.0,0.0,1.0,2024
"GA, Walker",13295,Human infections and non-human activity,2.0,1.0,0.0,2024
"GA, Walton",13297,Human infections and non-human activity,1.0,0.0,0.0,2024
"GA, Ware",13299,Human infections and non-human activity,2.0,2.0,2.0,2024
"GA, Warren",13301,Non-human activity,0.0,0.0,0.0,2024
"GA, Wayne",13305,Human infections and non-human activity,4.0,3.0,1.0,2024
"GA, Wheeler",13309,Human infections and non-human activity,1.0,1.0,0.0,2024
"GA, White",13311,Human infections and non-human activity,2.0,1.0,0.0,2024
"GA, Whitfield",13313,Human infections and non-human activity,5.0,4.0,0.0,2024
"GA, Wilcox",13315,Non-human activity,0.0,0.0,0.0,2024
"GA, Wilkes",13317,Non-human activity,0.0,0.0,0.0,2024
"GA, Wilkinson",13319,Non-human activity,0.0,0.0,0.0,2024
"GA, Worth",13321,Human infections and non-human activity,1.0,1.0,0.0,2024
"HI, Honolulu",15003,Human infections,2.0,1.0,0.0,2024
"ID, Adams",16003,Human infections and non-human activity,17.0,2.0,2.0,2024
"ID, Bear Lake",16007,Non-human activity,0.0,0.0,0.0,2024
"ID, Benewah",16009,Non-human activity,0.0,0.0,0.0,2024
"ID, Blaine",16013,Human infections and non-human activity,11.0,1.0,0.0,2024
"ID, Boise",16015,Human infections and non-human activity,7.0,1.0,0.0,2024
"ID, Bonner",16017,Non-human activity,0.0,0.0,0.0,2024
"ID, Bonneville",16019,Human infections and non-human activity,39.0,3.0,4.0,2024
"ID, Boundary",16021,Human infections and non-human activity,1.0,1.0,0.0,2024
"ID, Butte",16023,Human infections and non-human activity,5.0,0.0,0.0,2024
"ID, Camas",16025,Human infections,2.0,1.0,0.0,2024
